Unit_No,SN,CP0,CP1,CP2,CP3,CP4,CP5,CP6,CP7
218,FVFHSF0003D0001JYP,Y,Y,N,N,N,N,N,N
77,FVFHSL0003M0001JYP,Y,N,N,N,N,N,,
78,FVFHSL0003R0001JYP,Y,N,N,N,N,N,,
111,FVFHSF0001J0001JYP,Y,N,N,N,N,N,,
112,FVFHSF0001U0001JYP,Y,N,N,N,N,N,,
131,FVFHSF0003R0001JYP,Y,N,N,N,N,N,,
183,FVFHSF0002Q0001JYP,Y,N,N,N,N,N,,
184,FVFHSF000340001JYP,Y,N,N,N,N,N,,
80,FVFHSL0003X0001JYP,Y,N,N,N,N,N,,
81,FVFHSL0004B0001JYP,Y,N,N,N,N,N,,
113,FVFHSF0001K0001JYP,Y,N,N,N,N,N,,
114,FVFHSF0001Y0001JYP,Y,N,N,N,N,N,,
132,FVFHSF0003J0001JYP,Y,N,N,N,N,N,,
185,FVFHSF0002T0001JYP,Y,N,N,N,N,N,,
186,FVFHSF000370001JYP,Y,N,N,N,N,N,,
84,FVFHSL0003W0001JYP,Y,N,N,N,N,N,,
87,FVFHSL0003N0001JYP,Y,N,N,N,N,N,,
115,FVFHSF0001R0001JYP,Y,N,N,N,N,N,,
116,FVFHSF000240001JYP,Y,N,N,N,N,N,,
133,FVFHSF0003M0001JYP,Y,N,N,N,N,N,,
187,FVFHSF000320001JYP,Y,N,N,N,N,N,,
188,FVFHSF0002Z0001JYP,Y,N,N,N,N,N,,
89,FVFHSL0003V0001JYP,Y,N,N,N,N,N,N,N
91,FVFHSL0004G0001JYP,Y,N,N,N,N,N,N,N
117,FVFHSF0001S0001JYP,Y,N,N,N,N,N,N,N
118,FVFHSF0001M0001JYP,Y,N,N,N,N,N,N,N
134,FVFHSF0003Y0001JYP,Y,N,N,N,N,N,N,N
189,FVFHSF0002M0001JYP,Y,N,N,N,N,N,N,N
190,FVFHSF0002R0001JYP,Y,N,N,N,N,N,N,N
92,FVFHSL0003P0001JYP,Y,N,N,N,N,N,N,N
94,FVFHSL0003S0001JYP,Y,N,N,N,N,N,N,N
119,FVFHSF000210001JYP,Y,N,N,N,N,N,N,N
120,FVFHSF000250001JYP,Y,N,N,N,N,N,N,N
135,FVFHSF000430001JYP,Y,N,N,N,N,N,N,N
191,FVFHSF000310001JYP,Y,N,N,N,N,N,N,N
192,FVFHSF0002P0001JYP,Y,N,N,N,N,N,N,N
99,FVFHSL0003T0001JYP,Y,N,N,N,N,N,N,N
100,FVFHSL0003Q0001JYP,Y,N,N,N,N,N,N,N
121,FVFHSF0001A0001JYP,Y,N,N,N,N,N,N,N
122,FVFHSF0001D0001JYP,Y,N,N,N,N,N,N,N
136,FVFHSF0003L0001JYP,Y,N,N,N,N,N,N,N
193,FVFHSF000360001JYP,Y,N,N,N,N,N,N,N
194,FVFHSF000350001JYP,Y,N,N,N,N,N,N,N
45,FVFHSL0005A0001JYP,Y,N,N,N,,,,
49,FVFHSL0004X0001JYP,Y,N,N,N,,,,
50,FVFHSL0004W0001JYP,Y,N,N,N,,,,
168,FVFHSF0004G0001JYP,Y,N,N,N,,,,
169,FVFHSF0004A0001JYP,Y,N,N,N,,,,
170,FVFHSF0004J0001JYP,Y,N,N,N,,,,
219,FVFHSF000380001JYP,Y,N,N,N,,,,
220,FVFHSF0003B0001JYP,Y,N,N,N,,,,
221,FVFHSF0000W0001JYP,Y,N,N,N,,,,
56,FVFHSL0004Y0001JYP,Y,N,N,N,,,,
59,FVFHSL0004Z0001JYP,Y,N,Y,N,,,,
171,FVFHSF0004H0001JYP,Y,N,N,N,,,,
172,FVFHSF0004M0001JYP,Y,N,N,N,,,,
223,FVFHSF000100001JYP,Y,N,N,N,,,,
231,FVFHSF0000V0001JYP,Y,N,N,N,,,,
61,FVFHSL000500001JYP,Y,N,N,N,,,,
173,FVFHSF0004F0001JYP,Y,N,N,N,,,,
224,FVFHSF0000Q0001JYP,Y,N,N,N,,,,
86,FVFHSL000420001JYP,Y,N,N,N,N,N,N,
88,FVFHSL000470001JYP,Y,N,N,N,N,N,N,
137,FVFHSF000410001JYP,Y,N,N,N,N,N,N,
138,FVFHSF0003N0001JYP,Y,N,N,N,N,N,N,
195,FVFHSF0002Y0001JYP,Y,N,N,N,N,N,N,
196,FVFHSF000300001JYP,Y,N,N,N,N,N,N,
200,FVFHSF0001Z0001JYP,Y,N,N,N,N,N,N,
201,FVFHSF0001N0001JYP,Y,N,N,N,N,N,N,
90,FVFHSL000460001JYP,Y,N,N,N,N,N,N,N
93,FVFHSL0003U0001JYP,Y,N,N,N,N,N,N,N
139,FVFHSF000400001JYP,Y,N,N,N,N,N,N,N
140,FVFHSF000480001JYP,Y,N,N,N,N,N,N,N
197,FVFHSF0002X0001JYP,Y,N,N,N,N,N,N,N
198,FVFHSF0002S0001JYP,Y,N,N,N,N,N,N,N
202,FVFHSF0001W0001JYP,Y,N,N,N,N,N,N,N
203,FVFHSF0001T0001JYP,Y,N,N,N,N,N,N,N
64,FVFHSL0004U0001JYP,Y,N,N,N,N,N,N,N
65,FVFHSL000550001JYP,Y,N,N,N,N,N,N,N
101,FVFHSL000450001JYP,Y,N,N,N,N,N,N,N
102,FVFHSL0004D0001JYP,Y,N,N,N,N,N,N,N
147,FVFHSF000270001JYP,Y,N,N,N,N,N,N,N
148,FVFHSF000420001JYP,Y,N,N,N,N,N,N,N
229,FVFHSF000180001JYP,Y,N,N,N,N,N,N,N
230,FVFHSF0000X0001JYP,Y,N,N,N,N,N,N,N
62,FVFHSL000560001JYP,Y,N,N,,,,,
67,FVFHSL0005G0001JYP,Y,N,N,,,,,
149,FVFHSF000290001JYP,Y,N,N,,,,,
150,FVFHSF0002A0001JYP,Y,N,N,,,,,
222,FVFHSF0000Y0001JYP,Y,N,N,,,,,
232,FVFHSF000140001JYP,Y,N,N,,,,,
