Unit_No,SN,CP0,CP1,CP2,CP3,CP4,CP5,CP6,CP7
210,FVFHSF000160001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
211,FVFHSF0003G0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
212,FVFHSF000390001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
240,FVFHSL000670001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
241,FVFHSL0006H0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
242,FVFHSL0006D0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
243,FVFHSL0006A0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
244,FVFHSL0005N0001JYP,incoming,Non OPHS 65/90 72hrs,Non OPHS 65/90 168hrs,Non OPHS 65/90 336hrs,Non OPHS 65/90 504hrs,Non OPHS 65/90 720hrs,Non OPHS 65/90 1008hrs,5N manual pull test
19,FVFHSA000760001JYP,incoming,TC -20/65 100cycs,TC -20/65 200cycs,TC -20/65 300cycs,TC -20/65 400cycs,TC -20/65 500cycs,TC -20/65 600cycs,TC -20/65 700cycs
20,FVFHSA0007E0001JYP,incoming,TC -20/65 100cycs,TC -20/65 200cycs,TC -20/65 300cycs,TC -20/65 400cycs,TC -20/65 500cycs,TC -20/65 600cycs,TC -20/65 700cycs
48,FVFHSL0004S0001JYP,incoming,TC -20/65 100cycs,TC -20/65 200cycs,TC -20/65 300cycs,TC -20/65 400cycs,TC -20/65 500cycs,TC -20/65 600cycs,TC -20/65 700cycs
51,FVFHSL0005F0001JYP,incoming,TC -20/65 100cycs,TC -20/65 200cycs,TC -20/65 300cycs,TC -20/65 400cycs,TC -20/65 500cycs,TC -20/65 600cycs,TC -20/65 700cycs
79,FVFHSL0004C0001JYP,incoming,TC -20/65 100cycs,TC -20/65 200cycs,TC -20/65 300cycs,TC -20/65 400cycs,TC -20/65 500cycs,TC -20/65 600cycs,TC -20/65 700cycs
82,FVFHSL0004F0001JYP,incoming,TC -20/65 100cycs,TC -20/65 200cycs,TC -20/65 300cycs,TC -20/65 400cycs,TC -20/65 500cycs,TC -20/65 600cycs,TC -20/65 700cycs
107,FVFHSF0001P0001JYP,incoming,TC -20/65 100cycs,TC -20/65 200cycs,TC -20/65 300cycs,TC -20/65 400cycs,TC -20/65 500cycs,TC -20/65 600cycs,TC -20/65 700cycs
108,FVFHSF0001L0001JYP,incoming,TC -20/65 100cycs,TC -20/65 200cycs,TC -20/65 300cycs,TC -20/65 400cycs,TC -20/65 500cycs,TC -20/65 600cycs,TC -20/65 700cycs
127,FVFHSF0003V0001JYP,incoming,TC -20/65 100cycs,TC -20/65 200cycs,TC -20/65 300cycs,TC -20/65 400cycs,TC -20/65 500cycs,TC -20/65 600cycs,TC -20/65 700cycs
128,FVFHSF0003Q0001JYP,incoming,TC -20/65 100cycs,TC -20/65 200cycs,TC -20/65 300cycs,TC -20/65 400cycs,TC -20/65 500cycs,TC -20/65 600cycs,TC -20/65 700cycs
158,FVFHSF0004X0001JYP,incoming,TC -20/65 100cycs,TC -20/65 200cycs,TC -20/65 300cycs,TC -20/65 400cycs,TC -20/65 500cycs,TC -20/65 600cycs,TC -20/65 700cycs
159,FVFHSF0004Y0001JYP,incoming,TC -20/65 100cycs,TC -20/65 200cycs,TC -20/65 300cycs,TC -20/65 400cycs,TC -20/65 500cycs,TC -20/65 600cycs,TC -20/65 700cycs
179,FVFHSF000330001JYP,incoming,TC -20/65 100cycs,TC -20/65 200cycs,TC -20/65 300cycs,TC -20/65 400cycs,TC -20/65 500cycs,TC -20/65 600cycs,TC -20/65 700cycs
180,FVFHSF0002N0001JYP,incoming,TC -20/65 100cycs,TC -20/65 200cycs,TC -20/65 300cycs,TC -20/65 400cycs,TC -20/65 500cycs,TC -20/65 600cycs,TC -20/65 700cycs
213,FVFHSF0003F0001JYP,incoming,TC -20/65 100cycs,TC -20/65 200cycs,TC -20/65 300cycs,TC -20/65 400cycs,TC -20/65 500cycs,TC -20/65 600cycs,TC -20/65 700cycs
214,FVFHSF0003A0001JYP,incoming,TC -20/65 100cycs,TC -20/65 200cycs,TC -20/65 300cycs,TC -20/65 400cycs,TC -20/65 500cycs,TC -20/65 600cycs,TC -20/65 700cycs
